Projected_Year,Simulation,Claim_1,Claim_2,Claim_3,Claim_4,Claim_5,Claim_6,Claim_7,Claim_8,Claim_9,Claim_10,Claim_11,Claim_12,Claim_13,Claim_14,Claim_15,Claim_16,Claim_17,Claim_18,Claim_19,Claim_20,Claim_21,Claim_22,Claim_23,Claim_24,Claim_25,Claim_26,Claim_27,Claim_28,Claim_29,Claim_30,Claim_31,Claim_32,Claim_33,Claim_34,Claim_35,Claim_36,Claim_37,Claim_38,Claim_39,Claim_40,Claim_41,Claim_42,Claim_43,Claim_44,Claim_45,Claim_46,Claim_47,Claim_48,Claim_49,Claim_50,Claim_51,Claim_52,Claim_53,Claim_54,Claim_55,Claim_56,Claim_57,Claim_58,Claim_59,Claim_60,Claim_61,Claim_62,Claim_63,Claim_64,Claim_65,Claim_66,Claim_67,Claim_68,Claim_69,Claim_70,Claim_71,Claim_72,Claim_73,Claim_74,Claim_75,Claim_76,Claim_77,Claim_78,Claim_79,Claim_80,Claim_81,Claim_82,Claim_83
2026,4322,50000,36756,213,27416,162,467,112,3525,3094,7314,10646,0,721,1025,13850,1309,723,50000,1653,11588,50000,5037,10650,1131,469,17242,7102,65,32.0,19967.0,4756.0,82.0,6145.0,15163.0,70.0,1449.0,4677.0,50000.0,1447.0,2888.0,728.0,23.0,2134.0,71.0,101.0,7.0,2.0,3120.0,22.0,34895.0,7027.0,695.0,1513.0,32482.0,139.0,41.0,61.0,29892.0,193.0,2577.0,3645.0,193.0,663.0,27.0,1.0,,,,,,,,,,,,,,,,,,
2026,4323,2711,5676,3023,1688,659,680,24,262,1833,18673,330,11930,13948,2801,50000,12164,257,195,8093,786,6378,33,252,2698,7320,2178,252,50000,1057.0,484.0,5004.0,2053.0,1243.0,238.0,2461.0,156.0,73.0,2355.0,465.0,120.0,16628.0,44114.0,384.0,12217.0,13866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4324,70,3514,5676,20,1493,5897,5865,2351,19895,1087,331,579,7066,50000,754,739,7717,50000,721,164,1041,61,1262,246,372,2498,18,6454,50000.0,659.0,50000.0,1213.0,677.0,151.0,23704.0,232.0,2191.0,1936.0,50000.0,46.0,28121.0,7191.0,813.0,27769.0,2344.0,50000.0,25749.0,1401.0,3636.0,7147.0,1497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4325,13547,3575,475,623,8277,28520,2429,813,1869,1156,13095,423,50000,468,40,119,1484,233,358,1828,605,1946,3345,1296,3230,12355,18623,131,14142.0,171.0,708.0,994.0,604.0,8729.0,28596.0,2491.0,28134.0,46419.0,5383.0,3131.0,143.0,1352.0,46757.0,5160.0,53.0,249.0,15385.0,50000.0,41.0,803.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4326,514,5615,2582,185,25317,483,50000,709,524,19533,141,50000,14317,50000,604,41,5519,9390,50000,50000,344,4468,34289,994,3254,9809,242,24194,22504.0,18683.0,1582.0,6301.0,50000.0,37.0,193.0,8444.0,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4327,1986,50000,10299,2057,746,126,40825,526,691,4519,1486,12314,25,72,160,5497,5808,13492,1783,12460,6,1637,4527,4513,1094,50000,22328,1358,26976.0,12324.0,2604.0,1686.0,95.0,4198.0,27108.0,50000.0,1885.0,1676.0,879.0,50000.0,7565.0,50000.0,559.0,1831.0,217.0,6618.0,1818.0,50000.0,473.0,1563.0,1447.0,2990.0,26016.0,110.0,758.0,6348.0,4866.0,1106.0,199.0,5750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,4328,50000,310,2738,50000,455,555,912,50000,1138,50000,192,241,16,1311,187,23585,458,2008,5897,36163,50000,246,55,107,1657,3651,5182,5176,899.0,298.0,1048.0,1129.0,20339.0,50000.0,50000.0,842.0,8384.0,5225.0,134.0,5112.0,255.0,10097.0,50000.0,232.0,50000.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4329,46860,361,144,7146,92,1037,3177,50000,1057,1062,24923,4,1393,314,91,52,50000,1678,248,930,50000,1288,50000,125,50000,80,13556,3958,9.0,1562.0,4024.0,17638.0,103.0,56.0,30698.0,50000.0,9.0,515.0,306.0,50000.0,9767.0,25479.0,2090.0,25.0,15465.0,5317.0,1007.0,147.0,119.0,21408.0,2421.0,2259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,4330,457,44129,37614,50000,9,3761,33632,9387,4851,187,361,237,28895,3461,1684,50000,3325,111,628,10679,34,50000,1665,12284,37496,1188,11,50000,528.0,42.0,6243.0,5348.0,353.0,263.0,25.0,101.0,2881.0,19604.0,5669.0,50000.0,2448.0,50000.0,431.0,101.0,8363.0,11514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,4331,50000,10687,1950,9035,2971,15,994,937,152,27,1852,2879,39693,266,1046,1540,11160,50000,1789,392,17145,319,17798,5677,1342,1517,50000,4440,154.0,36.0,4822.0,1423.0,1451.0,50000.0,9420.0,175.0,638.0,106.0,1930.0,2743.0,702.0,50000.0,1650.0,582.0,2365.0,3203.0,180.0,954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
